abbr,full
OGAPS,Office of Graduate and Professional Studies at Texas A\&M University
B/CS,Bryan and College Station
TAMU,Texas A\&M University
AOD,Analysis Object Data
APD,Avalanche Photodiode
ASIC,Application-Specific Integrated Circuits
ATLAS,A Toroidal LHC ApparatuS
BDT,Boosted Decision Tree
BSM,Beyond Standard Model
CERN,European Organization for Nuclear Research
CH,Charged Hadron
CKM,Cabibbo-Kobayashi-Maskawa
CL,Confidence Level
CMS,Compact Muon Solenoid
CP,Charge-Parity
CPU,Central Processing Unit
CSC,Cathode Strip Chamber
CSCTF,Cathode Strip Chamber Track Finder
CTEQ,Coordinated Theoretical-Experimental Project on QCD
CTF,Combinatorial Track Finder
DAS,Data Aggregation System
DAQ,Data Aquisition
DT,Drift Tube
DTTF,Drift Tube Track Finder
EB,ECAL Barrel
ECAL,Electromagnetic Calorimeter
ES,ECAL Preshower
EE,ECAL Endcap
EM,Electromagnetic
EWSB,Electroweak Symmetry Breaking
FPGA,Field-Programmable Gate Array
FSR,Final-State Radiation
ISR,Initial-State Radiation
GUT,Grand Unified Theory
HB,HCAL Barrel
HCAL,Hadronic Calorimeter
HE,HCAL Endcap
HF,HCAL Forward
HO,HCAL Outer
HPD,Hybrid Photodiode
HLT,High-Level Trigger
IP,Interaction Point
L1,Level 1
L1A,Level-1 Accept
L2,Level 2
L3,Level 3
LEP,Large Electron-Positron Collider
LHC,Large Hadron Collider
LHCb,Large Hadron Collider beauty
LO,Leading Order
LSP,Lightest Supersymmetric Particle
MB,Muon Barrel
MC,Monte Carlo
ME,Muon Endcap
MET,Missing Transverse Energy
MIP,Minimum Ionizing Particle
MSSM,Minimal Supersymmetric Model
MVA,Multivariate
NH,Neutral Hadron
NLO,Next-to-Leading Order
NNLO,Next-to-Next-to-Leading Order
NNLL,Next-to-Next-to-Leading Logarithmic
PD,Primary Dataset
PF,Particle Flow
PDF,Parton Distribution Function
PMT,Photomultiplier Tube
PS,Proton Synchrotron
PSB,Proton Synchrotron Booster
PU,Pileup
QED,Quantum Electrodynamics
QCD,Quantum Chromodynamics
RF,Radio Frequency
RG,Renormalization Group
RMS,Root Mean Square
RPC,Resistive Plate Chamber
SiPM,Silicon Photomultiplier
SM,Standard Model
SPS,Super Proton Synchrotron
SUSY,Supersymmetry
TCS,Trigger Control System
TEC,Tracker End Cap
TIB,Tracker Inner Barrel
TID,Tracker Inner Disks
TOB,Tracker Outer Barrel
TPG,Trigger Primitive Generator
TTC,"Timing, Trigger and Control"
VEV,Vacuum Expectation Value
VPT,Vacuum Phototriode
WIMP,Weakly Interacting Massive Particle
WLS,Wavelength-Shifting
